name,busmap
way/37721677-380,DE1 0
way/37764852-220,DE1 2
way/38325076-380,DE1 24
way/38584673-220,DE1 14
way/38661452-380,DE1 8
way/395847307-220,DE1 26
way/39688875-220,DE1 15
way/398680313-380,DE1 10
way/409305507-220,DE1 9
way/41389594-220,DE1 18
way/414169327-380,DE1 10
way/42372159-380,DE1 8
way/42410916-220,DE1 8
way/42423415-380,DE1 5
way/42488850-380,DE1 27
way/42507488-220,DE1 27
way/42681484-380,DE1 17
way/42736239-380,DE1 0
way/42797575-380,DE1 17
way/42861703-220,DE1 27
way/43163132-380,DE1 10
way/43688805-220,DE1 0
way/442199284-380,DE1 13
way/449010725-380,DE1 7
way/460134233-220,DE1 15
way/46584363-220,DE1 9
way/46615737-380,DE1 10
way/48428875-380,DE1 0
way/49577401-220,DE1 5
way/50729129-220,DE1 16
way/50898216-380,DE1 26
way/515358077-380,DE1 15
way/517421342-220,DE1 15
way/518455594-380,DE1 10
way/525964629-380,DE1 7
way/53378027-380,DE1 24
way/54359256-220,DE1 4
way/55069713-380,DE1 8
way/57727004-220,DE1 18
way/59026005-380,DE1 19
way/59707532-380,DE1 15
way/60032354-220,DE1 7
way/603661085-380,DE1 7
way/61918154-220,DE1 11
way/672738029-220,DE1 11
way/683227471-380,DE1 18
way/68532663-220,DE1 6
way/68549340-220,DE1 27
way/691662101-380,DE1 9
way/74893659-380,DE1 7
way/76246159-380,DE1 24
way/77038371-380,DE1 24
way/77694901-220,DE1 6
way/77697810-380,DE1 16
way/78441561-380,DE1 16
way/796306640-380,DE1 11
way/797009308-380,DE1 11
way/810315511-380,DE1 12
way/82773910-220,DE1 4
way/851299584-380,DE1 15
way/85523877-220,DE1 18
way/87653464-220,DE1 21
way/87722999-220,DE1 7
way/87767098-380,DE1 14
way/883768276-380,DE1 20
way/883768277-380,DE1 20
way/883928228-380,DE1 20
way/883928229-380,DE1 20
way/88901626-380,DE1 21
way/88916034-220,DE1 21
way/88945213-380,DE1 24
way/89176939-220,DE1 4
way/89215122-220,DE1 4
way/90148336-220,DE1 26
way/907539360-380,DE1 7
way/91854336-220,DE1 14
way/93278553-220,DE1 14
way/93341407-380,DE1 22
way/940922557-380,DE1 19
way/941198517-380,DE1 19
way/941453716-380,DE1 15
way/941805476-380,DE1 19
way/942448206-220,DE1 10
way/942771541-380,DE1 19
way/943444232-220,DE1 10
way/943939310-380,DE1 1
way/945346148-220,DE1 13
way/946025110-380,DE1 1
way/946710698-220,DE1 15
way/946969736-380,DE1 7
way/947118608-380,DE1 15
way/947801636-220,DE1 25
way/948341123-380,DE1 25
way/951273401-380,DE1 20
way/951773852-380,DE1 20
way/952004951-380,DE1 17
way/952346322-380,DE1 11
way/953015049-380,DE1 2
way/953757606-380,DE1 12
way/953757608-380,DE1 12
way/954305865-220,DE1 11
way/955268863-220,DE1 20
way/957746797-220,DE1 2
way/968286361-220,DE1 14
way/97825259-220,DE1 0
virtual_way/542553909:0-220,DK0 0
virtual_way/542553909:1-220,DK0 0
virtual_way/865474891:0-220,DK0 0
way/131339683-400,DK0 0
way/133082281-400,DK0 0
way/160792651-400,DK0 0
way/26452107-400,DK0 0
way/26931725-220,DK0 0
way/889061694-220,DK0 0
virtual_relation/5207534:b:1-400,DK1 0
virtual_way/166885671:0-400,DK1 0
virtual_way/252095609:1-400,DK1 0
virtual_way/385384761:0-400,DK1 0
virtual_way/399008275:0-400,DK1 0
virtual_way/98212649:b:1-400,DK1 0
virtual_way/98214734:0-400,DK1 0
virtual_way/98527117:0-400,DK1 0
way/1101832649-400,DK1 0
way/1271587272-400,DK1 0
way/1284726676-220,DK1 0
way/1384028957-400,DK1 0
way/250212215-400,DK1 0
way/42128776-400,DK1 0
way/69424173-400,DK1 0
way/95713495-400,DK1 0
way/95840891-400,DK1 0
way/95868396-400,DK1 0
way/98033206-400,DK1 0
way/98212652-400,DK1 0
way/98216482-400,DK1 0
way/98524305-400,DK1 0
way/98526640-220,DK1 0
relation/13260100-225,FR1 0
relation/13260224-225,FR1 0
virtual_relation/10012409:a:1-225,FR1 0
virtual_relation/10012410:b:1-225,FR1 0
virtual_relation/10012412:b:1-225,FR1 0
virtual_relation/10016706:a:1-225,FR1 0
virtual_relation/10397083:0-225,FR1 0
virtual_relation/10408155:a:1-225,FR1 0
virtual_relation/10408156:a:1-225,FR1 0
virtual_relation/10489382:1-225,FR1 0
virtual_relation/10508904:a:1-225,FR1 0
virtual_relation/10529716:1-225,FR1 0
virtual_relation/10547431:b:1-225,FR1 0
virtual_relation/12643745:0-220,FR1 0
virtual_relation/14329220:b:1-225,FR1 0
virtual_relation/14329220:c:1-225,FR1 0
virtual_relation/17457402:b:1-225,FR1 0
virtual_relation/19455193:a:1-225,FR1 0
virtual_relation/19888985:1-225,FR1 0
virtual_relation/3717719:0-220,FR1 0
virtual_relation/3756991:0-220,FR1 0
virtual_relation/5314438:0-225,FR1 0
virtual_relation/5321015:1-225,FR1 0
virtual_relation/5548368:a:1-225,FR1 0
virtual_relation/5548390:a:1-225,FR1 0
virtual_relation/5548393:a:1-225,FR1 0
virtual_relation/5621452:1-225,FR1 0
